,actives,decoys,cid
4800,CCN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)NC)O)F,CC1CN(Cc2cnc3cc(-c4ccc(NN=O)[nH]c4=O)ccc3n2)CCN1C(=O)Nc1ccccc1F,156327087
4850,CC1=CC(=NN1C)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)NC)O)F,CN(CC(=O)NC1=NC=C(C(N)=O)C1c1noc(-c2ccccc2)n1)C1CCCNc2ccc(F)cc21,156326955
4900,C1CN(C1)C2=NC3=C(C=CC(=C3)OC[C@@H]4[C@H]([C@@H]([C@@H](O4)N5C=C(C6=C(N=CN=C65)N)N7C=CC=N7)F)O)C=C2,CC1CCCN1C(=O)NCc1nc2ccc(NC(=O)C(NO)c3cccc(F)c3)cc2n2ncnc12,156327033
4950,CC1=NC(=CO1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)N7CCC7,CCn1ncc(NC(=O)c2ccc(C(=O)N(C)Cc3cnc4c(C)ccc(C)c4c3)c(-c3cc[nH]n3)c2)n1,156304170
5000,CC1(CCN(CC1)CC2=NC=C(C=C2)C(=O)NC3CCN(CC3)C4=NC=NC(=C4)NCC5=CC=CC=C5)C,C=Cc1nc(CC)cn1-c1ccccc1N1CCC(NC(=O)NCCCc2c3c(nn2CC)CCC3)CC1,166132574
5050,CC1(CCN(CC1)CC2=NC=C(C=C2)NCC3(CCN(CC3)C4=NC=NC(=C4)NCC5=CC=CC=C5)O)C,CCc1ccc(CCc2ccc(C3=NN=CC3=CC=CN(C)CC(=O)Nc3ccc(C#N)cc3)[nH]2)cc1,156587339
5100,CC1=CN=C(C=C1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)NC)O)F,CNCC(CNC(=O)C1=NN2C(=O)Nc3nc(C4c5ccccc54)[nH]c(=O)c3C2(C)C1)c1ccccc1F,156327129
5150,CCNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=CN(C=N6)C)F)O)C=C1,COC1CCN(C)CC1Nc1cc(-n2nc(C=Cc3ccnc(Oc4cccc(F)c4)c3)c(=O)[nH]2)ncn1,166632188
5200,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)CCC5=CC6=C(C=C5)C=CC(=N6)N7CCC7,Cc1cccc(CCNc2ccc(-n3nnc(-c4cccc(NC5CCn6c(C)nnc65)c4)n3)c(C)c2)c1,156304097
5250,CN(C)C(=O)C1=CN(C2=NC=NC(=C12)N)[C@H]3[C@H]([C@@H]([C@H](O3)COC4=CC5=C(C=C4)C=CC(=N5)N6CCC6)O)F,CCc1onc2c1C(C=CNC(=O)NCC1CCCN1CCF)N(C(=O)c1cc(-c3ccco3)[nH]n1)C2C,166625726
5300,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)CSC5=CC6=C(C=C5)C=CC(=N6)N7CCC7,Cc1c(CN2Cc3cccnc3Nc3nccnc32)sc2nc(CCCCn3ccc4ccccc43)nn12,156304025
5350,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC(=C(C=C5)CN6CCOCC6)N,CCc1c(C(=O)Nc2ccc(N(CC(=O)Nc3ccccc3)c3nc[nH]n3)cc2)cc(C)n1-c1cc[nH]n1,156304156
5400,C[C@H]1CCN1C2=NC3=C(C=CC(=C3)OCC4=CC(=CN=C4)N5C=C(C6=C(N=CN=C65)N)C7CCCC7)C=C2,Cc1ccccc1-n1nc(C)c(CCn2nnc(-c3ccc(C(=O)Nc4c(C)cccc4C)cc3)n2)c1C,156303937
5450,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)NC,C=Cc1[nH]cc(C)c1C=C(NC(=O)c1nn(-c2ccccc2)c(C)c1Nc1nc(C)n[nH]1)c1ccccn1,156304155
5500,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=CCN(CC6)C)F)O)C=C1,C#CCNc1nc(C(NC(=O)N2CCC(C)(C(=O)Nc3ccccc3C(C)N)C2)c2cccc(F)c2)no1,166631555
5550,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=NC(=NC=C6C=C5)N7CCC7,N#Cc1ccc(-n2ncc(-n3ccc(-c4nc(-c5ccccc5)n[nH]4)n3)c2N=CN2CCC(O)CC2)cc1,156304174
5600,C1C[C@H](OC1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC(=C(C=C5)C(=O)N6CCNCC6)N,CCc1ccc(C)cc1-c1nc(C(=O)N2CCN3C(=O)NC(NC(=O)c4ccccc4)=C(C=N)C3C2)n[nH]1,156304124
5650,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC(=C(C=C5)C(=O)N(C)CCO)N,O=C(Nc1ccccc1)Nc1ccc2[nH]c(CCCC(=O)N3CCC(C(=O)Nc4nc[nH]n4)CC3)nc2c1,156304163
5700,C[C@@H]1CCN1C2=NC3=C(C=CC(=C3)OCC4=CC(=CN=C4)N5C=C(C6=C(N=CN=C65)N)C7CCCC7)C=C2,Cc1noc(C(C)Nc2ccc(CNc3nc4c(c(-c5ccc(C#N)cc5)n3)CCC4)c3ccccc23)n1,156304019
5750,CCC1=CC(=C2C=CC(=CC2=N1)CCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)NC,CCn1nc(CN2CCN(c3ccccn3)CC2)nc1-c1cccc(Nc2ccccc2-c2c[nH]cn2)c1,156304018
5800,CNC1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6CCC(CC6)(F)F)C=C1,CC(=CC=C(c1ccc(-c2nnncc2NC(=O)c2cnn(-c3ccccc3N)c2)cc1)C(F)F)C(C)C,156304051
5850,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CC(=CN=C3)N4C=CC5=C(N=CN=C54)N)N6CCC(CC6)(F)F,Cc1ccc(F)cc1-c1ncccc1CNc1ccc(F)cc1C1CC(=O)Nc2c1c(C)nc1ncnn21,156303994
5900,C1C[C@@H](OC1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)N7CCC7)O)F,Cc1ccc(F)cc1NC(=O)C1=Cc2ncccc2C1NC(=O)C1CN2C(=O)N(C3CCC3)CC2C(=O)N1,166627194
5950,C1CN(C1)C2=NC3=C(C=CC(=C3)OC[C@@H]4[C@H]([C@@H]([C@@H](O4)N5C=C(C6=C(N=CN=C65)N)C7=NC=CO7)F)O)C=C2,COc1nc(-c2[nH]ncc2C=Cc2ccc(-n3cc(C(=O)NC4CCCC4CO)cn3)nc2)ccc1F,156327156
6000,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6CCN(CC6)C)F)O)C=C1,CCNC1=C2C3CC(C2C=C3F)C(C)C1OC(=O)c1ccccc1NC(=O)NCc1nnc2ncccn12,156327090
6050,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)SC(=N6)N7CCC7)O)F,CC1=CC(C(=O)N2C=C(C(C)NC(=O)Nc3ccc4c(c3)c(=O)[nH]c3cscc34)c3n[nH]cc3C2)N=N1,156326973
6100,C1CCC(C1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)N7CCC7)O)F,O=C(Nc1ccc(NC(=O)N2CCc3ccc4c(c32)CCC4)c(F)c1)NC1CCC(n2cnccc2=O)C1,166631854
6150,CCNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)F)O)C=C1,Cc1nc(-c2nc3nc(CC4(C)NC(=O)c5cc6c(cc5NC4=O)C=CCO6)nn3c(C)c2N)ccc1F,156327792
6200,CC1=NC(=CC=C1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)NC)O)F,CC=CC1Nc2cc(NC(=O)NCc3cccc(CN4C(=O)NCC4C)c3)nn2C(c2cccc(F)c2)O1,156327047
6250,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)N(C)CCO)O)F,CC1(CNC(=O)c2ccc(NC(=O)c3nc4c([nH]3)CCC(COCC#N)C4)cc2)CCc2n[nH]c(=O)n2C1,156326985
6300,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC(=C(C=C5)CN6CCC(CC6)CO)N,Cc1ccc(CCCNC(=O)Nc2ccc(C(=O)c3cn[nH]c3N)c(-c3cnncc3-c3ccn(C)n3)c2)cc1,156304053
6350,CC1=NN(C=C1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)N7CC(C7)N)O)F,Cc1onc(-c2c[nH]c(C(=O)Nc3cc(F)cc4c3C=NC4)c2)c1NC(=O)Nc1ccnc(N2CCCC2C)n1,156730085
6400,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)CS(=O)(=O)C5=CC6=C(C=C5)C=CC(=N6)N7CCC7,CCc1c(NC(=O)c2nc3c(=Cc4cnc(N)s4)c4ccc(C(=O)NC)cc4n3n2)cnn1-c1ccc(C)cc1,156296268
6450,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=C(C=CC(=C5)F)C(=O)NC6CCOCC6,CNc1cc(F)ccc1-n1c(COC)nnc1-c1cnc(C)c(NC(=O)NCC(=O)N2CCc3ccccc32)c1,156304083
6500,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)N7CC(C7)O)O)F,Cc1ccc(-c2cccc(F)c2)c(NC(=O)N2CC(C(=N)N3CC(O)CCC3=O)N(Cc3cc(N)[nH]n3)C2=O)c1,156326965
6550,COC1=CC=CC=C1C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)N7CCC7,C=CCn1nnc2cc(C(=O)Nc3cccc(Cc4ccc(NC(=O)c5nn(CC)cc5C)cc4)c3)ccc21,166636481
6600,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@@H]6CCCO6)N(C)C7CC7,CC=C1CCc2c1cn(CC(CCOc1cccc3c(C)n(C)cc13)CNC(=O)c1cnc3[nH]ncc3n1)c2C,156304123
6650,CC1(COC(=N1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)N7CCC7)O)F)C,O=C(CCn1c(=O)[nH]c2c(c1=O)=C1CCCC1N=2)Nc1ncccc1C(=O)Nc1ccc(C2CCCN2)cc1F,166635480
6700,CCC1=CC(=NC2=C1C(=CC(=C2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6CCCO6)F)N7CCC7,Cc1ccc(CF)c(C)c1NC(C)(C)c1nc2n(c(=O)c1N=Cc1c3ccccc3n3cccnc13)CC(=O)N2,156304052
6750,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)NC7CNC7)O)F,CNCCC1(c2ccccc2O)CN(C(=O)C2NC(=O)N(c3ccc(F)cc3)N=C2C)CCC1Nc1nc[nH]n1,156327154
6800,CCC1=CC(=C2C(=N1)C=C(C=N2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@H]6CCCO6)NCCOC,CCNCCc1occc1CN(c1ccc(N(C)C(=O)c2ccn[nH]2)c(C)n1)C1CCc2cccnc2NC1=O,156304064
6850,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@H]6CCCO6)NCCOC,Cc1ccc(-n2cnnc2)cc1NC(=O)NCC(=O)Nc1cccc(C(C)N2CCCC2=O)c1-c1ccccc1,156304152
6900,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)N7CCOCC7,CC(C)(C)c1ncc2c(n1)n1nc(-c3ccc(N)nc3)cc1c(=O)n2CCc1ccc2c(c1)ncn2CCCO,156304067
6950,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CN=CC(=N3)N4C=C(C5=C(N=CN=C54)N)[C@@H]6CCCO6)N(C)C7CC7,CN=Cc1cn(-c2ccc(Oc3cccc(NC(=O)NC4CN=C(C)n5ccnc54)c3)cn2)c2ccc(C)cc12,156304033
7000,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC(=C(C=C5)C(=O)NC6CCOCC6)N,Cc1nc(N)c(C(=O)Nc2ccc(C(=O)Nc3cc(C#N)cc(-n4cccc4)c3)cc2)c(-c2ccc(=O)[nH]n2)n1,156304044
7050,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@@H]6CCCO6)NCCOC,C=CC(=CC)n1c(C)nc(C)c(NC(=O)N(CCC(=O)Nc2ccccc2)c2cc(-c3ccccc3)[nH]n2)c1=O,156304056
7100,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)N7CC8(C7)CC8,CC1CCN(c2nc(Nc3ccc4ccccc4c3)nc3nnc(NCc4nc5c(c(=O)[nH]4)=CCC=5)cc23)CC1,156304069
7150,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)N7CCCC7=O,CCc1cccc(-c2ncc3ccc(-c4nc(CCNC(=O)Nc5ccccc5-n5cncn5)no4)cc3n2)c1,156304145
7200,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)C7CCOCC7,COc1ccc2cc(-n3nc(C)c(CC(=O)Nc4c(-c5ccccc5)n[nH]c4Nn4ccnc4)c3C)ccc2c1,156304043
7250,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)N7CC(C7)(F)F,Cc1ccc(-n2ncnc2-n2cnnc2C2CCN(C(=O)Nc3c(C#N)c(F)cc4cc(F)ccc34)CC2)cc1,156304159
7300,CCC1=CC(=C2C(=N1)C=C(C=N2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@@H]6CCCO6)NCCOC,CCC(CN(C(=O)c1cc2c(c(NCC(C)C)c1)COC2)c1cn[nH]c1)Cn1ncc2c1Cc1ccnn1C2=O,156304070
7350,CCC1=CC(=NC2=C1C(=CC(=C2)F)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6CCCO6)N7CCC7,CN=C1Nc2ccccc2C2C(C(=O)N(CCC(=O)Nc3ccc4ncn(C)c4c3)c3cccc(F)c3)CCN12,156304054
7400,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C7CCC7)O)O)C=C1,Cc1ccc(C(NC(=O)Nc2cccc(NC(=O)Cc3ccc(C)c(C)c3)c2)c2nn3c(=O)[nH]c(=O)n3[nH]2)cc1,166626089
7450,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)N7CC(C7)N)O)F,CC1C(O)CC2=CCNC(=N2)CN(C)C(=O)CCN1C(=O)Nc1cc(-c2nc(-c3ccc(F)cc3)n[nH]2)ccn1,156327142
7500,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C7COC7)F)O)C=C1,NC(=O)C1CNCCN1C(=O)Nc1cc(C(=O)N2CCc3c(C4CCOC4F)n[nH]c3C2)ccc1-n1cccc1,164570047
7550,CCC1=CC(=C2C=CC(=CC2=N1)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)F)O)N(C)C,CCC1CCCN1C(=O)Nc1ccc(-n2ncc3nccnc32)c(C(=O)N2CC3C(C)C2CC(=O)N3CCF)c1,156326993
7600,CC1=NN(C=C1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)N7CC(C7)O)O)F,CCOC1CCNCC1c1nn[nH]c1C(=O)Nc1cccc(-c2nnc(N(C)C(=O)c3ccccc3C)o2)c1,156326946
7650,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C=CC(=N6)NC7CCC7)O)F,CNC(=O)CC(C)c1nnc2ccc(NC(=O)NCCN3C(=O)c4ccccc4NC3c3ccccc3F)cn12,156327144
7700,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@H]([C@@H]([C@H](O4)CCC5CCNCC5)O)F,Cc1nc(-c2ccccc2)nn1-c1nc(CCN)c(F)nc1C(O)C1CCCCO1,166636528
7750,CNC1=NC2=C(C=CC(=C2)CCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)Cl)C=C1,CC(C)(C)n1cc(-c2ccc(CCCNc3ccc(Cl)c(-c4nc[nH]n4)c3)cc2)nn1,166039026
7800,CNC1=NC2=C(C=CC(=C2)CCC3=CC(=CN=C3)N4C=CC5=C(N=CN=C54)N)C=C1,Nc1cnn(-c2ccc(CNc3nc4c(c(-c5ccccc5)n3)CNCC4)cc2)c1,166039032
7850,CNC1=NC2=C(C=CC(=C2)COC3=CN=CC(=C3)N4C=CC5=C(N=CN=C54)N)C=C1,CCNc1ccc(Nc2nc3[nH]nc(-c4ccc(OC5CCCC5)cc4)n3n2)cc1,156296245
7900,CC1=NC(=CC(=O)N1C)C(=O)NCC2=CN3C=C(C=CC3=N2)CNCC4CCCCC4,O=C(NCc1cccnn1)c1ccccc1CN1CCN(c2ccccc2)CNC1=O,163239057
7950,CNC1=NC2=C(C=CC(=C2)CNC3=CC(=CC=C3)N4C=C(C5=C(N=CN=C54)N)Br)C=C1,CNCc1ccc(Br)c2nc(N)nc(Nc3ccc4c(n3)CCN4c3ccccc3)c12,156303957
8000,C1CC(C1)CNCC2=CC3=C(N2)C=C(C=C3)CC4=CN(N=N4)C5CCCC6C5CNN6,CC(Nc1ccc(CCCn2cnnc2)cc1)c1ccc2c(c1)C(C1CC1)NC(=N)N2,168489999
8050,C1CC(C1)CNCC2=CC=C(C=C2)[C@H]3C[C@H]([C@@H]([C@@H]3O)O)N4C=C(C5=C(N=CN=C54)N)Br,Cc1ccccc1NC1=NC(N)=C(C(=O)N2CC(C)C(O)C2)C1c1cc(Br)ccc1N,163239293
8100,CNC1=NC2=C(C=CC(=C2)OCC3=CC(=CC=C3)C4=CNC5=C4N=CN=C5N)C=C1,O=C(NCc1nc2ccccc2n1Cc1ccccc1)Nc1ccc2c(c1)NNC2,166039017
8150,C1CC(C1)CNCC2=CC3=C(N2)C=C(N=C3)CNC(=O)C4=CC(=O)N5C=CC=CC5=N4,CC(=O)NCc1nc(C=Nc2ccc(O)cn2)n(-c2ccc(-c3ccccc3)cc2)n1,156461758
8200,CC(C)CNCC1=CC2=C(N1)C=C(C=C2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CCn1cc(C(C)NC(=O)Nc2ccccc2C=Cc2cc(O)ccc2C#N)cn1,156461783
8250,C#CCNCC1=CC2=C(N1)C=C(C=C2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CC(C)C(NC=O)c1nnc(N=C2c3ccccc3-c3ccccc32)n1CCO,156748886
8300,CC(C)(C)CNCC1=CC2=C(N1)C=C(C=C2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1ccc(NCCn2c(=O)[nH]c3ccccc3c2=O)c(Nc2ccc(C#N)cc2)c1,156461968
8350,C1CC(C1)CNCC2=CC3=C(N2)C=C(C=C3)CC4=NC(=NO4)C5=C6C=NNC6=CC=C5,N#Cc1ccccc1-c1ccc2[nH]nc(CCC(=O)Nc3[nH]nc4c3CCCC4)c2c1,156461683
8400,C1CC(C1)CNCCC/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC(N)CNC1(C)CCCC12NC(=O)N(CCC(=O)Nc1cccc(Br)c1)C2=O,171400787
8450,C1=CC2=C(C=C1OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)Br)F)O)NC(=N2)N,CC1=C(C(=O)Nc2cn[nH]c2C(=N)N)Nc2ccncc2C1C(=O)OC(C)C(F)Br,166632426
8500,C1CC(C1)CNCC2=CN3C=C(N=C3C=C2)CNC(=O)C4=CC=CC5=CN=CN54,O=C(N=c1[nH]nc(C=Cc2ccccc2)n1Cc1ccccn1)c1ccncc1,163239192
8550,CNC1=NC2=C(C=CC(=C2)OCC3=NN=C(S3)N4C=C(C5=C(N=CN=C54)N)Cl)C=C1,CCNN=c1nc2[nH]ccc3c(Nc4nc(=O)n5ccccc5n4)cc(Cl)c(s1)c23,156303968
8600,C1CC(C1)CNCC2=CC3=C(N2)C=C(C=C3)CNC(=O)C4=CC(=O)N5C=CC=CC5=N4,O=C(CCNC(=O)c1cccc(C=Nc2ccncc2)c1)Nc1cccc(C2CC2)n1,156442379
8650,C1=CC=C(C=C1)CNC/C=C/CC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CCC(CBr)Nc1ccc(C(O)CC(=O)Nc2ccc(-n3cn[nH]c3=O)cc2)cc1C,163239272
8700,C1CC(C1)CNCC2=CC3=C(N2)C=C(C=C3)CN4C=C(N=N4)C5=C6C=NNC6=CC=C5,CC(N)Nc1nn(C)c2ccc(NCc3nn(-c4ccccc4)c4ccccc34)cc12,156461753
8750,C1CCNC(C1)C2=CC3=C(N2)C=C(C=C3)CNC(=O)C4=CC(=O)N5C=CC=CC5=N4,N#Cc1ccc(CNc2cc(NC(=O)C3CC=CCC3)cc3c(=O)[nH]cnc23)cc1,156461690
8800,C1CC(C1)CNCC2=CN3C=C(N=C3C=C2)CNC(=O)C4=CC5=C(C=C4)NC=C5,CCNc1ccc(NC(=O)c2cc(-c3ccccc3)n[nH]2)c(-c2ccccc2)n1,163239096
8850,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)C=C1,CC(C#N)(CO)C(O)c1ccc(NC(=O)c2ccc(-c3nnc4n3C(=O)CN4)[nH]2)cc1,166626520
8900,C1CC(C1)CNCC2=CN3C=C(N=C3C=C2)CNC(=O)C4=CC5=C(N=C4)N=CN5,Cc1cnc2c(NC(=O)Nc3ccccc3)c(CCc3cn[nH]c3)nn2c1C,163239157
8950,C1CC(C1)CNCC2=CC3=C(N2)C=C(C=N3)CN4C=C(N=N4)C5=C6C=NNC6=CC=C5,CC=CC=CC=C(Nc1nc2[nH]nc(C(C)C)c2[nH]1)n1nc(-c2ccccc2)nc1C,156442234
9000,C1CC(C1)CNCC2=CC3=C(N2)C=C(C=C3)CC4=CN(N=N4)C5=CC=CC6=C5C=NN6,Cc1ccc(-c2cc(-c3ccc(NCCn4nnc5ccccc54)cc3)[nH]n2)cn1,156461785
9050,C1CC(C1)CNCC2=CC3=C(N2)C=C(N=C3)CN4C=C(N=N4)C5=C6C=NNC6=CC=C5,Cc1cc(Cn2ccc(CNc3ccnc4ncccc34)n2)nc(-c2c[nH]c(C)c2)n1,156442378
9100,C1CC(C1)CNCC2=CC3=C(N2)C=C(C=C3)CNC(=O)C4=CN=C5C(=C4)C=CN5,Cc1ccccc1-c1cc(CN(C(=O)C=Cc2ccn[nH]2)c2ccccc2)[nH]n1,156442185
9150,C1CC(C1)CNCC2=CC3=C(N2)N=C(C=C3)CNC(=O)C4=CC(=O)N5C=CC=CC5=N4,CN(CCCO)C(=O)Nc1ccc2[nH]c(-c3ccc4c(cnn4CC4CC4)c3)nc2c1,156461681
9200,CC1=C(C2=C(N1)C(=NC=N2)N)C3=CN=CC(=C3)COC4=CC5=C(C=C4)C=CC(=N5)NC,O=C(Nc1cnn(-c2cccc(-c3ccc4ncccc4n3)c2)c1)NC1CCCNC1,156304089
9250,CNC1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)C4=CNC5=C4N=CN=C5N)C=C1,Cc1c(-c2ccc(NC(=O)c3cc(N)[nH]n3)cc2)cnn1-c1ccc(CC#N)cc1,156296234
9300,C1CC(C1)CNCC2=CN3C=C(N=C3C=C2)CNC(=O)C4=CN=C5C(=C4)C=CN5,CC(CCO)c1nc(-c2ccc(Nc3nccc(-c4ccccc4)n3)cc2)n[nH]1,163239067
9350,CN1C=CC2=CC(=CN=C21)C(=O)NCC3=CN4C=C(C=CC4=N3)CNCC5CCC5,Cc1cccc(-c2ccc(-c3n[nH]c(=O)nc3NCc3nc(C)cc(C)n3)cc2)c1,163239138
9400,C1C2(CC1(C2)F)CNCCC/C=C/[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)Br)O)O,O=c1[nH]c(=O)n(CC2CCc3ccccc3C2NC2CCC(CNC(F)Br)C2)c(=O)[nH]1,163239232
9450,C1[C@@H]([C@H](O[C@H]1N2C=C(C3=C(N=CN=C32)N)Br)/C=C/CCCNCC45CC(C4)(C5)F)O,NC(=O)CC=C1N=C(NC(=O)Br)C(CF)=CCC=CC2CCC(CC2)c2nc1c[nH]2,163239314
9500,CC(C)(C)CNCC1=CC2=C(N1)C=C(C=C2)CNC(=O)C3=CN=C4C(=C3)C=CN4,Cc1cc(CCc2c[nH]c3c(-c4cccc(C#N)c4)c(C)nn23)cc(C=O)c1N,156442187
9550,CC1CCN1CC2=CC3=C(N2)C=C(C=C3)CNC(=O)C4=CC(=O)N5C=CC=CC5=N4,C=c1[nH]cc(C2CC(=Nc3nc(-c4cccc5ccccc45)n[nH]3)CC(=O)O2)c1=C,156461629
